gamesTotal;wins;losses;ties;winsPast100;totalPlayer;totalOpponent;timeSinceLastRound;timeSinceStart;totalKOS;frameCount;estimated time
1;1;0;0;1;710;520;1,03992E+16;1,03992E+16;0;2383;11915
2;2;0;0;2;1300;990;9,2508E+14;1,965E+16;0;2365;11825
3;2;1;0;2;1950;1650;8,89386E+15;2,85438E+15;0;2377;11885
4;3;1;0;3;2540;2020;9,07694E+15;3,76208E+15;0;2403;12015
5;4;1;0;4;3300;2470;8,94837E+15;4,65691E+16;0;2396;1198
6;5;1;0;5;3950;2970;9,04595E+15;5,56151E+15;0;2392;1196
7;5;2;0;5;4480;3540;9,09298E+15;6,47081E+15;0;2407;12035
8;5;3;0;5;4860;4060;9,17735E+15;7,38854E+15;0;2393;11965
9;6;3;0;6;5550;4410;9,51575E+15;8,34012E+15;0;2384;1192
10;7;3;0;7;6200;4780;9,848E+15;9,32492E+15;0;2397;11985
11;7;4;0;7;6780;5370;9,23949E+15;1,02489E+16;0;2404;1202
12;8;4;0;8;7450;5990;9,20867E+15;1,11697E+16;0;2371;11855
13;9;4;0;9;8000;6460;9,31394E+15;1,21011E+16;0;2355;11775
14;10;4;0;10;8530;6950;9,19376E+15;1,30205E+15;0;2375;11875
15;11;4;0;11;9140;7530;9,11112E+14;1,39316E+16;0;2370;1185
16;11;5;0;11;9540;7950;9,2839E+15;1,486E+16;0;2383;11915
17;11;6;0;11;10090;8570;9,14387E+15;1,57744E+16;0;2366;1183
18;12;6;0;12;10630;8970;9,10772E+14;1,66852E+16;0;2381;11905
19;12;6;1;12;11250;9590;9,21566E+15;1,76067E+16;0;2359;11795
20;13;6;1;13;11650;9950;9,10229E+15;1,8517E+16;0;2374;1187
21;14;6;1;14;12120;10330;9,10025E+15;1,9427E+15;0;2370;1185
22;15;6;1;15;12740;10810;9,33492E+15;2,03605E+16;0;2394;1197
23;15;7;1;15;13250;11380;9,14384E+15;2,12749E+16;0;2394;1197
24;16;7;1;16;13910;11800;9,72504E+15;2,22474E+16;0;2393;11965
25;17;7;1;17;14560;12250;9,04364E+15;2,31517E+16;0;2373;11865
26;18;7;1;18;15150;12720;8,92562E+15;2,40443E+16;0;2391;11955
27;19;7;1;19;15670;13220;9,63428E+15;2,50077E+16;0;2350;1175
28;20;7;1;20;16240;13660;9,12463E+14;2,59202E+16;0;2372;1186
29;21;7;1;21;16860;14180;8,85997E+15;2,68062E+15;0;2380;1190
30;22;7;1;22;17400;14680;1,14176E+15;2,79479E+16;0;2363;11815
31;23;7;1;23;18050;15230;1,13357E+16;2,90815E+15;0;2397;11985
32;24;7;1;24;18660;15690;1,03039E+16;3,01119E+15;0;2377;11885
33;25;7;1;25;19170;16140;1,00664E+16;3,11185E+15;0;2395;11975
34;26;7;1;26;19790;16580;1,00654E+16;3,21251E+15;0;2374;1187
35;27;7;1;27;20340;17120;9,89632E+15;3,31147E+15;0;2376;1188
36;28;7;1;28;21070;17500;9,01829E+15;3,40165E+15;0;2389;11945
37;29;7;1;29;21650;18000;9,32764E+15;3,49493E+16;0;2382;1191
38;30;7;1;30;22510;18580;8,87943E+15;3,58372E+15;0;2394;1197
39;31;7;1;31;23220;19010;8,91101E+15;3,67283E+15;0;2383;11915
40;32;7;1;32;24050;19460;9,0438E+15;3,76327E+16;0;2377;11885
